"Details", "Details"
"Deliver my order in store", "Meine Bestellung in Filiale liefern"
"Choose Store", "Filiale auswählen"
"Change Store", "Filiale wechseln"
"Ship Here", "Hier hin liefern"
"Your order will be delivered to the chosen store.", "Ihre Bestellung wird in die ausgewählte Filiale geliefert"
"You will receive an email when the order will be available for pickup.", "Sie erhalte eine Email sobald Ihre Bestellung in der Filiale zur Abholung bereit liegt"
"Deliver in Store", "In Filiale liefern"
"Save Address", "Adresse speichern"
"Cancel", "Abbrechen"
"Store Delivery", "Filiallieferung"
"Enabled", "aktiviert"
"Method Name", "Name Versandart"
"Price", "Preis"
"Calculate Handling Fee", "Lieferkosten berechnen"
"Handling Fee", "Lieferkosten"
"Sort Order", "Bestellung sortieren"
"Title", "Titel"
"Ship to Applicable Countries", "in verfügbare Länder liefern"
"Ship to Specific Countries", "in spezielle Länder liefern"
"Show Method if Not Applicable", "Versandart anzeigen, wenn nicht verfügbar"
"Displayed Error Message", "Fehlermeldung anzeigen"
"Store Delivery Addresses", "Lieferadresse Filiale"
"Select Store Address", "Filialadresse auswählen"
"Find a store :", "Filiale finden :"
"City, Zipcode, Department, ...","Stadt, PLZ, Bundesland..."
"Search", "Suchen"
"%s result(s)", "% Resultate"
"%s shop(s) nearby", "% Filialen in der Nähe"
"View all", "alle ansehen"
"Home Delivery", "Lieferung nach Hause"
"Your order will be delivered to your address.", "Ihre Bestellung wird an Ihre Adresse geliefert."
"You will receive an email when the order will be shipped.", "Sie erhalten eine Mail sobald Ihre Bestellung versendet wurde."
"Shipping", "Versand"
"Allow Store Delivery", "Lieferung in die Filiale erlauben"
"Allow Delivery", "Lieferung erlauben"
